Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_174_374,VGND,li1,178.2500,484.1600,0.000017
FILLER_174_371,VGND,li1,176.8700,484.1600,0.000017
FILLER_174_368,VGND,li1,175.4900,484.1600,0.000017
FILLER_174_365,VGND,li1,174.1100,484.1600,0.000017
FILLER_174_361,VGND,li1,172.2700,484.1600,0.000017
FILLER_174_358,VGND,li1,170.8900,484.1600,0.000016
FILLER_174_355,VGND,li1,169.5100,484.1600,0.000016
FILLER_174_352,VGND,li1,168.1300,484.1600,0.000016
FILLER_174_349,VGND,li1,166.7500,484.1600,0.000016
FILLER_174_346,VGND,li1,165.3700,484.1600,0.000016
FILLER_174_343,VGND,li1,163.9900,484.1600,0.000016
FILLER_174_340,VGND,li1,162.6100,484.1600,0.000015
FILLER_174_337,VGND,li1,161.2300,484.1600,0.000015
FILLER_174_333,VGND,li1,159.3900,484.1600,0.000015
FILLER_174_330,VGND,li1,158.0100,484.1600,0.000015
FILLER_174_327,VGND,li1,156.6300,484.1600,0.000015
FILLER_174_324,VGND,li1,155.2500,484.1600,0.000015
FILLER_174_321,VGND,li1,153.8700,484.1600,0.000015
FILLER_174_318,VGND,li1,152.4900,484.1600,0.000015
FILLER_174_315,VGND,li1,151.1100,484.1600,0.000014
FILLER_174_312,VGND,li1,149.7300,484.1600,0.000014
FILLER_174_309,VGND,li1,148.3500,484.1600,0.000014
FILLER_174_305,VGND,li1,146.5100,484.1600,0.000014
FILLER_174_302,VGND,li1,145.1300,484.1600,0.000014
FILLER_174_299,VGND,li1,143.7500,484.1600,0.000014
FILLER_174_296,VGND,li1,142.3700,484.1600,0.000013
FILLER_174_293,VGND,li1,140.9900,484.1600,0.000013
FILLER_174_290,VGND,li1,139.6100,484.1600,0.000013
FILLER_174_287,VGND,li1,138.2300,484.1600,0.000013
FILLER_174_284,VGND,li1,136.8500,484.1600,0.000013
FILLER_174_281,VGND,li1,135.4700,484.1600,0.000013
FILLER_174_277,VGND,li1,133.6300,484.1600,0.000012
FILLER_174_274,VGND,li1,132.2500,484.1600,0.000012
FILLER_174_271,VGND,li1,130.8700,484.1600,0.000012
FILLER_174_268,VGND,li1,129.4900,484.1600,0.000012
FILLER_174_265,VGND,li1,128.1100,484.1600,0.000012
FILLER_174_262,VGND,li1,126.7300,484.1600,0.000012
FILLER_174_259,VGND,li1,125.3500,484.1600,0.000012
FILLER_174_256,VGND,li1,123.9700,484.1600,0.000011
FILLER_174_253,VGND,li1,122.5900,484.1600,0.000011
FILLER_174_249,VGND,li1,120.7500,484.1600,0.000011
FILLER_174_246,VGND,li1,119.3700,484.1600,0.000011
FILLER_174_243,VGND,li1,117.9900,484.1600,0.000011
FILLER_174_240,VGND,li1,116.6100,484.1600,0.000011
FILLER_174_237,VGND,li1,115.2300,484.1600,0.000011
FILLER_174_234,VGND,li1,113.8500,484.1600,0.000010
FILLER_174_231,VGND,li1,112.4700,484.1600,0.000010
FILLER_174_228,VGND,li1,111.0900,484.1600,0.000010
FILLER_174_225,VGND,li1,109.7100,484.1600,0.000010
FILLER_174_221,VGND,li1,107.8700,484.1600,0.000010
FILLER_174_218,VGND,li1,106.4900,484.1600,0.000010
FILLER_174_215,VGND,li1,105.1100,484.1600,0.000010
FILLER_174_212,VGND,li1,103.7300,484.1600,0.000009
FILLER_174_209,VGND,li1,102.3500,484.1600,0.000009
FILLER_174_206,VGND,li1,100.9700,484.1600,0.000009
FILLER_174_203,VGND,li1,99.5900,484.1600,0.000009
FILLER_174_200,VGND,li1,98.2100,484.1600,0.000009
FILLER_174_197,VGND,li1,96.8300,484.1600,0.000009
FILLER_174_193,VGND,li1,94.9900,484.1600,0.000008
FILLER_174_190,VGND,li1,93.6100,484.1600,0.000008
FILLER_174_187,VGND,li1,92.2300,484.1600,0.000008
FILLER_174_184,VGND,li1,90.8500,484.1600,0.000008
FILLER_174_181,VGND,li1,89.4700,484.1600,0.000008
FILLER_174_178,VGND,li1,88.0900,484.1600,0.000008
FILLER_174_175,VGND,li1,86.7100,484.1600,0.000008
FILLER_174_172,VGND,li1,85.3300,484.1600,0.000007
FILLER_174_169,VGND,li1,83.9500,484.1600,0.000007
FILLER_174_165,VGND,li1,82.1100,484.1600,0.000007
FILLER_174_162,VGND,li1,80.7300,484.1600,0.000007
FILLER_174_159,VGND,li1,79.3500,484.1600,0.000007
FILLER_174_156,VGND,li1,77.9700,484.1600,0.000007
FILLER_174_153,VGND,li1,76.5900,484.1600,0.000006
FILLER_174_150,VGND,li1,75.2100,484.1600,0.000006
FILLER_174_147,VGND,li1,73.8300,484.1600,0.000006
FILLER_174_144,VGND,li1,72.4500,484.1600,0.000006
FILLER_174_141,VGND,li1,71.0700,484.1600,0.000006
FILLER_174_137,VGND,li1,69.2300,484.1600,0.000006
FILLER_174_134,VGND,li1,67.8500,484.1600,0.000006
FILLER_174_131,VGND,li1,66.4700,484.1600,0.000006
FILLER_174_128,VGND,li1,65.0900,484.1600,0.000005
FILLER_174_125,VGND,li1,63.7100,484.1600,0.000005
FILLER_174_122,VGND,li1,62.3300,484.1600,0.000005
FILLER_174_119,VGND,li1,60.9500,484.1600,0.000005
FILLER_174_116,VGND,li1,59.5700,484.1600,0.000005
FILLER_174_113,VGND,li1,58.1900,484.1600,0.000005
FILLER_174_109,VGND,li1,56.3500,484.1600,0.000004
FILLER_174_106,VGND,li1,54.9700,484.1600,0.000004
FILLER_174_103,VGND,li1,53.5900,484.1600,0.000004
FILLER_174_100,VGND,li1,52.2100,484.1600,0.000004
FILLER_174_97,VGND,li1,50.8300,484.1600,0.000004
FILLER_174_94,VGND,li1,49.4500,484.1600,0.000004
FILLER_174_91,VGND,li1,48.0700,484.1600,0.000004
FILLER_174_88,VGND,li1,46.6900,484.1600,0.000003
FILLER_174_85,VGND,li1,45.3100,484.1600,0.000003
FILLER_174_81,VGND,li1,43.4700,484.1600,0.000003
FILLER_174_78,VGND,li1,42.0900,484.1600,0.000003
FILLER_174_75,VGND,li1,40.7100,484.1600,0.000003
FILLER_174_72,VGND,li1,39.3300,484.1600,0.000003
FILLER_174_69,VGND,li1,37.9500,484.1600,0.000002
FILLER_174_66,VGND,li1,36.5700,484.1600,0.000002
FILLER_174_63,VGND,li1,35.1900,484.1600,0.000002
FILLER_174_60,VGND,li1,33.8100,484.1600,0.000002
FILLER_174_57,VGND,li1,32.4300,484.1600,0.000002
FILLER_174_53,VGND,li1,30.5900,484.1600,0.000002
FILLER_174_50,VGND,li1,29.2100,484.1600,0.000001
FILLER_174_47,VGND,li1,27.8300,484.1600,0.000001
FILLER_174_44,VGND,li1,26.4500,484.1600,0.000001
FILLER_174_41,VGND,li1,25.0700,484.1600,0.000001
FILLER_174_38,VGND,li1,23.6900,484.1600,0.000001
FILLER_174_35,VGND,li1,22.3100,484.1600,0.000001
FILLER_174_32,VGND,li1,20.9300,484.1600,0.000001
FILLER_174_29,VGND,li1,19.5500,484.1600,0.000001
FILLER_174_27,VGND,li1,18.1700,484.1600,0.000001
FILLER_174_24,VGND,li1,17.2500,484.1600,0.000001
FILLER_174_21,VGND,li1,15.8700,484.1600,0.000001
FILLER_174_18,VGND,li1,14.4900,484.1600,0.000001
FILLER_174_15,VGND,li1,13.1100,484.1600,0.000001
FILLER_174_12,VGND,li1,11.7300,484.1600,0.000001
FILLER_174_9,VGND,li1,10.3500,484.1600,0.000001
FILLER_174_6,VGND,li1,8.9700,484.1600,0.000001
FILLER_174_3,VGND,li1,7.5900,484.1600,0.000001
FILLER_173_1057,VGND,li1,492.2000,484.1600,0.000001
FILLER_173_1054,VGND,li1,491.0500,484.1600,0.000001
FILLER_173_1051,VGND,li1,489.6700,484.1600,0.000001
FILLER_173_1048,VGND,li1,488.2900,484.1600,0.000001
FILLER_173_1045,VGND,li1,486.9100,484.1600,0.000001
FILLER_173_1042,VGND,li1,485.5300,484.1600,0.000001
FILLER_173_1039,VGND,li1,484.1500,484.1600,0.000001
FILLER_173_1036,VGND,li1,482.7700,484.1600,0.000001
FILLER_173_1033,VGND,li1,481.3900,484.1600,0.000001
FILLER_173_1030,VGND,li1,480.0100,484.1600,0.000001
FILLER_173_1027,VGND,li1,478.6300,484.1600,0.000001
FILLER_173_1024,VGND,li1,477.2500,484.1600,0.000001
FILLER_173_1021,VGND,li1,475.8700,484.1600,0.000001
FILLER_173_1018,VGND,li1,474.4900,484.1600,0.000001
FILLER_173_1015,VGND,li1,473.1100,484.1600,0.000001
FILLER_173_1012,VGND,li1,471.7300,484.1600,0.000001
FILLER_173_1009,VGND,li1,470.3500,484.1600,0.000001
FILLER_173_1007,VGND,li1,468.9700,484.1600,0.000002
FILLER_173_1004,VGND,li1,468.0500,484.1600,0.000002
FILLER_173_1001,VGND,li1,466.6700,484.1600,0.000002
FILLER_173_998,VGND,li1,465.2900,484.1600,0.000002
FILLER_173_995,VGND,li1,463.9100,484.1600,0.000002
FILLER_173_992,VGND,li1,462.5300,484.1600,0.000002
FILLER_173_989,VGND,li1,461.1500,484.1600,0.000002
FILLER_173_986,VGND,li1,459.7700,484.1600,0.000002
FILLER_173_983,VGND,li1,458.3900,484.1600,0.000002
FILLER_173_980,VGND,li1,457.0100,484.1600,0.000002
FILLER_173_977,VGND,li1,455.6300,484.1600,0.000002
FILLER_173_974,VGND,li1,454.2500,484.1600,0.000002
FILLER_173_971,VGND,li1,452.8700,484.1600,0.000002
FILLER_173_968,VGND,li1,451.4900,484.1600,0.000003
FILLER_173_965,VGND,li1,450.1100,484.1600,0.000003
FILLER_173_962,VGND,li1,448.7300,484.1600,0.000003
FILLER_173_959,VGND,li1,447.3500,484.1600,0.000003
FILLER_173_956,VGND,li1,445.9700,484.1600,0.000003
FILLER_173_953,VGND,li1,444.5900,484.1600,0.000003
FILLER_173_951,VGND,li1,443.2100,484.1600,0.000003
FILLER_173_948,VGND,li1,442.2900,484.1600,0.000003
FILLER_173_945,VGND,li1,440.9100,484.1600,0.000003
FILLER_173_942,VGND,li1,439.5300,484.1600,0.000003
FILLER_173_939,VGND,li1,438.1500,484.1600,0.000003
FILLER_173_936,VGND,li1,436.7700,484.1600,0.000003
FILLER_173_933,VGND,li1,435.3900,484.1600,0.000004
FILLER_173_930,VGND,li1,434.0100,484.1600,0.000004
FILLER_173_927,VGND,li1,432.6300,484.1600,0.000004
FILLER_173_924,VGND,li1,431.2500,484.1600,0.000004
FILLER_173_921,VGND,li1,429.8700,484.1600,0.000004
FILLER_173_918,VGND,li1,428.4900,484.1600,0.000004
FILLER_173_915,VGND,li1,427.1100,484.1600,0.000004
FILLER_173_912,VGND,li1,425.7300,484.1600,0.000004
FILLER_173_909,VGND,li1,424.3500,484.1600,0.000004
FILLER_173_906,VGND,li1,422.9700,484.1600,0.000004
FILLER_173_903,VGND,li1,421.5900,484.1600,0.000004
FILLER_173_900,VGND,li1,420.2100,484.1600,0.000004
FILLER_173_897,VGND,li1,418.8300,484.1600,0.000004
FILLER_173_895,VGND,li1,417.4500,484.1600,0.000005
FILLER_173_892,VGND,li1,416.5300,484.1600,0.000005
FILLER_173_889,VGND,li1,415.1500,484.1600,0.000005
FILLER_173_886,VGND,li1,413.7700,484.1600,0.000005
FILLER_173_883,VGND,li1,412.3900,484.1600,0.000005
FILLER_173_880,VGND,li1,411.0100,484.1600,0.000005
FILLER_173_877,VGND,li1,409.6300,484.1600,0.000005
FILLER_173_874,VGND,li1,408.2500,484.1600,0.000005
FILLER_173_871,VGND,li1,406.8700,484.1600,0.000005
FILLER_173_868,VGND,li1,405.4900,484.1600,0.000005
FILLER_173_865,VGND,li1,404.1100,484.1600,0.000005
FILLER_173_862,VGND,li1,402.7300,484.1600,0.000005
FILLER_173_859,VGND,li1,401.3500,484.1600,0.000005
FILLER_173_856,VGND,li1,399.9700,484.1600,0.000006
FILLER_173_853,VGND,li1,398.5900,484.1600,0.000006
FILLER_173_850,VGND,li1,397.2100,484.1600,0.000006
FILLER_173_847,VGND,li1,395.8300,484.1600,0.000006
FILLER_173_844,VGND,li1,394.4500,484.1600,0.000006
FILLER_173_841,VGND,li1,393.0700,484.1600,0.000006
FILLER_173_839,VGND,li1,391.6900,484.1600,0.000006
FILLER_173_836,VGND,li1,390.7700,484.1600,0.000006
FILLER_173_833,VGND,li1,389.3900,484.1600,0.000006
FILLER_173_830,VGND,li1,388.0100,484.1600,0.000006
FILLER_173_827,VGND,li1,386.6300,484.1600,0.000006
FILLER_173_824,VGND,li1,385.2500,484.1600,0.000006
FILLER_173_821,VGND,li1,383.8700,484.1600,0.000007
FILLER_173_818,VGND,li1,382.4900,484.1600,0.000007
FILLER_173_815,VGND,li1,381.1100,484.1600,0.000007
FILLER_173_812,VGND,li1,379.7300,484.1600,0.000007
FILLER_173_809,VGND,li1,378.3500,484.1600,0.000007
FILLER_173_806,VGND,li1,376.9700,484.1600,0.000007
FILLER_173_803,VGND,li1,375.5900,484.1600,0.000007
FILLER_173_800,VGND,li1,374.2100,484.1600,0.000007
FILLER_173_797,VGND,li1,372.8300,484.1600,0.000007
FILLER_173_794,VGND,li1,371.4500,484.1600,0.000007
FILLER_173_791,VGND,li1,370.0700,484.1600,0.000007
FILLER_173_788,VGND,li1,368.6900,484.1600,0.000007
FILLER_173_785,VGND,li1,367.3100,484.1600,0.000007
FILLER_173_783,VGND,li1,365.9300,484.1600,0.000008
FILLER_173_780,VGND,li1,365.0100,484.1600,0.000008
FILLER_173_777,VGND,li1,363.6300,484.1600,0.000008
FILLER_173_774,VGND,li1,362.2500,484.1600,0.000008
FILLER_173_771,VGND,li1,360.8700,484.1600,0.000008
FILLER_173_768,VGND,li1,359.4900,484.1600,0.000008
FILLER_173_765,VGND,li1,358.1100,484.1600,0.000008
FILLER_173_762,VGND,li1,356.7300,484.1600,0.000008
FILLER_173_759,VGND,li1,355.3500,484.1600,0.000008
FILLER_173_756,VGND,li1,353.9700,484.1600,0.000008
FILLER_173_753,VGND,li1,352.5900,484.1600,0.000008
FILLER_173_750,VGND,li1,351.2100,484.1600,0.000008
FILLER_173_747,VGND,li1,349.8300,484.1600,0.000008
