net,length_um
net589,33.265µm
_0767_,33.13µm
net378,33.045µm
ro_counter_inst.measurement_window\[6\],32.95µm
net306,32.845µm
_0669_,32.84µm
net432,32.385µm
_0681_,32.11µm
net575,31.38µm
net333,31.22µm
_0837_,31.2µm
ro_counter_inst.measurement_window\[4\],30.52µm
net534,30.33µm
net274,30.02µm
_0889_,29.88µm
_0801_,29.64µm
_0555_,29.56µm
delay_chain_inst.cycle_count\[2\],29.21µm
net315,28.79µm
ro_counter_inst.count_0\[4\],28.77µm
ro_count_0\[0\],28.66µm
net238,28.62µm
_0936_,28.57µm
net266,28.44µm
ro_counter_inst.measurement_window\[7\],28.4µm
_0934_,28.32µm
net341,27.98µm
net5,27.895µm
_0665_,27.86µm
net281,27.86µm
clk_stuck_high,27.56µm
net317,27.26µm
net614,27.19µm
net319,27.04µm
net276,26.965µm
_0759_,26.95µm
net466,26.94µm
net313,26.77µm
_0676_,26.64µm
clk_stuck_low,26.6µm
net524,26.545µm
delay_chain_inst.chain_2\[26\],26.46µm
net299,26.365µm
_0814_,26.28µm
_0840_,26.2µm
_0560_,26.1µm
ro_count_0\[1\],25.93µm
_0687_,25.87µm
ro_count_0\[3\],25.86µm
net350,25.845µm
_0593_,25.81µm
_0774_,25.69µm
net100,25.62µm
clock_status_reg[1],25.505µm
net339,25.44µm
_0806_,25.365µm
net248,25.15µm
clock_status_reg[3],25.1µm
_0938_,25.08µm
net84,24.96µm
_0634_,24.84µm
net499,24.79µm
net66,24.765µm
net302,24.62µm
_0561_,24.6µm
delay_chain_inst.cycle_count\[12\],24.555µm
net304,24.54µm
net612,24.33µm
_0787_,24.31µm
_0805_,24.215µm
delay_chain_inst.cycle_count\[8\],24.02µm
ro_counter_inst.measurement_window\[0\],23.725µm
net395,23.72µm
ro_count_2\[1\],23.64µm
net472,23.6µm
clock_status_reg[5],23.42µm
net292,23.295µm
net268,23.065µm
_0841_,22.92µm
net367,22.855µm
ro_count_reg_2[4],22.8µm
net230,22.74µm
net212,22.69µm
_0826_,22.635µm
_0833_,22.585µm
net250,22.58µm
_0632_,22.505µm
clk_fast,22.28µm
ro_count_reg_0[3],22.28µm
net260,21.95µm
delay_chain_inst.chain_2\[17\],21.84µm
net300,21.8µm
_0946_,21.725µm
net470,21.64µm
ro_count_reg_1[2],21.38µm
net599,21.38µm
_0684_,21.37µm
clk_slow,21.32µm
net12,21.255µm
net256,21.15µm
_0891_,21.13µm
net79,20.95µm
net443,20.9µm
net40,20.84µm
ro_count_reg_0[5],20.7µm
state\[2\],20.555µm
_0539_,20.52µm
_0717_,20.35µm
ro_count_2\[3\],20.34µm
_0558_,20.325µm
net70,20.28µm
net550,20.245µm
_0871_,20.18µm
net23,20.18µm
_0639_,20.17µm
net240,20.17µm
net383,20.17µm
net620,20.06µm
_0800_,20.05µm
net16,20.04µm
net77,20.04µm
_0786_,19.92µm
ro_count_reg_1[7],19.92µm
delay_count_reg_1[7],19.82µm
delay_count_reg_1[8],19.82µm
status_reg[0],19.82µm
net244,19.44µm
ro_count_reg_2[6],19.39µm
delay_count_reg_1[1],19.38µm
net258,19.33µm
_0895_,19.21µm
_0892_,19.03µm
net328,18.93µm
_0844_,18.865µm
clock_status_reg[0],18.86µm
clock_status_reg[2],18.86µm
clock_status_reg[4],18.86µm
delay_count_reg_0[4],18.86µm
delay_count_reg_0[6],18.86µm
delay_count_reg_0[8],18.86µm
delay_count_reg_1[4],18.86µm
delay_count_reg_1[6],18.86µm
status_reg[5],18.86µm
status_reg[6],18.86µm
status_reg[7],18.86µm
net335,18.695µm
_0813_,18.675µm
_0643_,18.56µm
clk_bad_duty,18.44µm
net362,18.44µm
_0911_,18.37µm
net621,18.37µm
delay_chain_inst.cycle_count\[6\],18.36µm
net326,18.32µm
net479,18.165µm
status_reg[4],18.14µm
ro_count_2\[7\],18.105µm
net42,17.95µm
ro_counter_inst.start_prev,17.88µm
net211,17.815µm
net14,17.7µm
delay_chain_inst.chain_2\[29\],17.64µm
ro_count_reg_0[2],17.58µm
net463,17.575µm
delay_count_reg_2[12],17.55µm
net504,17.53µm
net440,17.52µm
net228,17.42µm
ro_clk_0,17.4µm
_0738_,17.34µm
net603,17.325µm
_0807_,17.315µm
net17,17.3µm
_0753_,17.28µm
_0757_,17.16µm
ro_count_reg_1[0],17.1µm
ro_count_reg_1[1],17.1µm
net218,16.95µm
_0812_,16.94µm
delay_count_reg_2[15],16.94µm
_0822_,16.87µm
delay_chain_inst.chain_0\[3\],16.81µm
net3,16.585µm
net264,16.58µm
_0631_,16.575µm
net381,16.57µm
net56,16.5µm
_0685_,16.405µm
net74,16.405µm
_0912_,16.35µm
net480,16.335µm
net431,16.33µm
delay_count_reg_2[2],16.16µm
delay_count_reg_0[2],16.14µm
delay_count_reg_0[3],16.14µm
delay_count_reg_1[2],16.14µm
ro_count_reg_0[0],16.14µm
ro_count_reg_0[1],16.14µm
ro_count_reg_0[4],16.14µm
ro_count_reg_0[6],16.14µm
ro_count_reg_0[7],16.14µm
ro_count_reg_1[3],16.14µm
ro_count_reg_1[4],16.14µm
ro_count_reg_1[5],16.14µm
ro_count_reg_1[6],16.14µm
