Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_122_797,VSS,Metal1,390.0060,476.7400,0.000000
FILLER_122_790,VSS,Metal1,386.6460,476.7400,0.000001
FILLER_122_783,VSS,Metal1,383.2860,476.7400,0.000001
FILLER_122_776,VSS,Metal1,379.9260,476.7400,0.000001
FILLER_122_769,VSS,Metal1,376.5660,476.7400,0.000001
FILLER_122_762,VSS,Metal1,373.2060,476.7400,0.000001
FILLER_122_755,VSS,Metal1,369.8460,476.7400,0.000001
FILLER_122_748,VSS,Metal1,366.4860,476.7400,0.000001
FILLER_122_741,VSS,Metal1,363.1260,476.7400,0.000001
FILLER_122_734,VSS,Metal1,359.7660,476.7400,0.000001
FILLER_122_727,VSS,Metal1,356.4060,476.7400,0.000001
FILLER_122_720,VSS,Metal1,353.0460,476.7400,0.000001
FILLER_122_713,VSS,Metal1,349.6860,476.7400,0.000001
FILLER_122_706,VSS,Metal1,346.3260,476.7400,0.000001
FILLER_122_699,VSS,Metal1,342.9660,476.7400,0.000001
FILLER_122_692,VSS,Metal1,339.6060,476.7400,0.000001
FILLER_122_685,VSS,Metal1,336.2460,476.7400,0.000000
FILLER_122_678,VSS,Metal1,332.8860,476.7400,0.000000
FILLER_122_671,VSS,Metal1,329.5260,476.7400,0.000000
FILLER_122_664,VSS,Metal1,326.1660,476.7400,0.000000
FILLER_122_657,VSS,Metal1,322.8060,476.7400,0.000001
FILLER_122_650,VSS,Metal1,319.4460,476.7400,0.000002
FILLER_122_643,VSS,Metal1,316.0860,476.7400,0.000003
FILLER_122_636,VSS,Metal1,312.7260,476.7400,0.000003
FILLER_122_629,VSS,Metal1,309.3660,476.7400,0.000004
FILLER_122_622,VSS,Metal1,306.0060,476.7400,0.000005
FILLER_122_615,VSS,Metal1,302.6460,476.7400,0.000005
FILLER_122_608,VSS,Metal1,299.2860,476.7400,0.000006
FILLER_122_601,VSS,Metal1,295.9260,476.7400,0.000007
FILLER_122_594,VSS,Metal1,292.5660,476.7400,0.000008
FILLER_122_587,VSS,Metal1,289.2060,476.7400,0.000008
FILLER_122_580,VSS,Metal1,285.8460,476.7400,0.000009
FILLER_122_573,VSS,Metal1,282.4860,476.7400,0.000010
FILLER_122_566,VSS,Metal1,279.1260,476.7400,0.000010
FILLER_122_559,VSS,Metal1,275.7660,476.7400,0.000011
FILLER_122_552,VSS,Metal1,272.4060,476.7400,0.000011
FILLER_122_545,VSS,Metal1,269.0460,476.7400,0.000012
FILLER_122_538,VSS,Metal1,265.6860,476.7400,0.000013
FILLER_122_531,VSS,Metal1,262.3260,476.7400,0.000013
FILLER_122_524,VSS,Metal1,258.9660,476.7400,0.000014
FILLER_122_517,VSS,Metal1,255.6060,476.7400,0.000014
FILLER_122_510,VSS,Metal1,252.2460,476.7400,0.000015
FILLER_122_503,VSS,Metal1,248.8860,476.7400,0.000081
FILLER_122_496,VSS,Metal1,245.5260,476.7400,0.000147
FILLER_122_489,VSS,Metal1,242.1660,476.7400,0.000214
FILLER_122_455,VSS,Metal1,224.4000,476.2800,0.000336
FILLER_122_421,VSS,Metal1,208.0800,476.2800,0.000235
FILLER_122_398,VSS,Metal1,197.0400,476.2800,0.000196
FILLER_122_364,VSS,Metal1,182.1660,476.7400,0.000098
FILLER_122_357,VSS,Metal1,178.8060,476.7400,0.000068
FILLER_122_350,VSS,Metal1,175.4460,476.7400,0.000038
FILLER_122_343,VSS,Metal1,172.0860,476.7400,0.000037
FILLER_122_336,VSS,Metal1,168.7260,476.7400,0.000035
FILLER_122_329,VSS,Metal1,165.3660,476.7400,0.000034
FILLER_122_322,VSS,Metal1,162.0060,476.7400,0.000032
FILLER_122_315,VSS,Metal1,158.6460,476.7400,0.000030
FILLER_122_308,VSS,Metal1,155.2860,476.7400,0.000029
FILLER_122_301,VSS,Metal1,151.9260,476.7400,0.000027
FILLER_122_294,VSS,Metal1,148.5660,476.7400,0.000025
FILLER_122_287,VSS,Metal1,145.2060,476.7400,0.000024
FILLER_122_280,VSS,Metal1,141.8460,476.7400,0.000022
FILLER_122_273,VSS,Metal1,138.4860,476.7400,0.000020
FILLER_122_266,VSS,Metal1,135.1260,476.7400,0.000019
FILLER_122_259,VSS,Metal1,131.7660,476.7400,0.000017
FILLER_122_252,VSS,Metal1,128.4060,476.7400,0.000016
