Metric,Value
clock__skew__worst_setup__corner:max_ff_n40C_1v95,0.2795969923613323
timing__hold__ws__corner:max_ff_n40C_1v95,0.11213846835181503
timing__setup__ws__corner:max_ff_n40C_1v95,6.256336958914752
timing__hold__tns__corner:max_ff_n40C_1v95,0.0
timing__setup__tns__corner:max_ff_n40C_1v95,0.0
timing__hold__wns__corner:max_ff_n40C_1v95,0
timing__setup__wns__corner:max_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,0.112138
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,7.304845
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,18
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,18
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_1v80,1.79934
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_1v80,1.79998
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_1v80,0.000661409
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_1v80,0.000552203
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_1v80,0.0000249301
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_1v80,0.000552203
design_powergrid__voltage__worst,0.000552203
design_powergrid__voltage__worst__net:VPWR,1.79934
design_powergrid__drop__worst,0.000661409
design_powergrid__drop__worst__net:VPWR,0.000661409
design_powergrid__voltage__worst__net:VGND,0.000552203
design_powergrid__drop__worst__net:VGND,0.000552203
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,0.0000247999999999999997247861205362795544715481810271739959716796875
ir__drop__worst,0.000661000000000000020698720515355262250523082911968231201171875
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
