Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_122_636,VDD,Metal1,312.7290,479.4610,1.199993
FILLER_122_629,VDD,Metal1,309.3690,479.4610,1.199992
FILLER_122_622,VDD,Metal1,306.0090,479.4610,1.199992
FILLER_122_615,VDD,Metal1,302.6490,479.4610,1.199988
FILLER_122_608,VDD,Metal1,299.2890,479.4610,1.199987
FILLER_122_601,VDD,Metal1,295.9290,479.4610,1.199987
FILLER_122_594,VDD,Metal1,292.5690,479.4610,1.199987
FILLER_122_587,VDD,Metal1,289.2090,479.4610,1.199986
FILLER_122_580,VDD,Metal1,285.8490,479.4610,1.199986
FILLER_122_573,VDD,Metal1,282.4890,479.4610,1.199985
FILLER_122_566,VDD,Metal1,279.1290,479.4610,1.199985
FILLER_122_559,VDD,Metal1,275.7690,479.4610,1.199985
FILLER_122_552,VDD,Metal1,272.4090,479.4610,1.199984
FILLER_122_545,VDD,Metal1,269.0490,479.4610,1.199984
FILLER_122_538,VDD,Metal1,265.6890,479.4610,1.199983
FILLER_122_531,VDD,Metal1,262.3290,479.4610,1.199983
FILLER_122_524,VDD,Metal1,258.9690,479.4610,1.199983
FILLER_122_517,VDD,Metal1,255.6090,479.4610,1.199982
FILLER_122_510,VDD,Metal1,252.2490,479.4610,1.199982
FILLER_122_503,VDD,Metal1,248.8890,479.4610,1.199981
FILLER_122_496,VDD,Metal1,245.5290,479.4610,1.199981
FILLER_122_489,VDD,Metal1,242.1690,479.4610,1.199979
FILLER_122_455,VDD,Metal1,224.4000,480.0600,1.199778
FILLER_122_421,VDD,Metal1,208.0800,480.0600,1.199758
FILLER_122_398,VDD,Metal1,197.0400,480.0600,1.199773
FILLER_122_364,VDD,Metal1,182.1690,479.4610,1.199966
FILLER_122_357,VDD,Metal1,178.8090,479.4610,1.199972
FILLER_122_350,VDD,Metal1,175.4490,479.4610,1.199979
FILLER_122_343,VDD,Metal1,172.0890,479.4610,1.199985
FILLER_122_336,VDD,Metal1,168.7290,479.4610,1.199991
FILLER_122_329,VDD,Metal1,165.3690,479.4610,1.199991
FILLER_122_322,VDD,Metal1,162.0090,479.4610,1.199992
FILLER_122_315,VDD,Metal1,158.6490,479.4610,1.199992
FILLER_122_308,VDD,Metal1,155.2890,479.4610,1.199992
FILLER_122_301,VDD,Metal1,151.9290,479.4610,1.199993
FILLER_122_294,VDD,Metal1,148.5690,479.4610,1.199993
FILLER_122_287,VDD,Metal1,145.2090,479.4610,1.199993
FILLER_122_280,VDD,Metal1,141.8490,479.4610,1.199994
FILLER_122_273,VDD,Metal1,138.4890,479.4610,1.199994
FILLER_122_266,VDD,Metal1,135.1290,479.4610,1.199995
