net,length_um
clock_status_reg[4],23.02µm
corner_class_reg[2],23.02µm
delay_chain_inst.delay_count_1\[4\],23µm
net356,23µm
_0649_,22.74µm
clk_bad_duty,22.74µm
net80,22.72µm
net280,22.7µm
_0615_,22.69µm
delay_count_reg_2[6],22.58µm
delay_count_reg_1[14],22.52µm
net1,22.42µm
net86,22.36µm
net408,22.22µm
net175,22.07µm
net29,21.8µm
delay_chain_inst.chain_0\[7\],21.62µm
delay_count_reg_2[13],21.62µm
delay_count_reg_0[5],21.58µm
net272,21.58µm
_0632_,21.36µm
net319,21.3µm
clk_slow,21.28µm
delay_count_reg_2[1],21.24µm
_0544_,21.04µm
delay_chain_inst.chain_2\[31\],21.02µm
_0536_,20.9µm
_0537_,20.78µm
delay_chain_inst.delay_count_0\[1\],20.76µm
delay_count_reg_0[11],20.74µm
_0690_,20.68µm
status_reg[1],20.58µm
net352,20.5µm
_0725_,20.48µm
clk_stuck_low,20.34µm
_0600_,20.28µm
net234,20.2µm
_0279_,20.06µm
ro_counter_inst.measurement_window\[5\],20.06µm
delay_chain_inst.delay_count_2\[11\],19.94µm
delay_count_reg_0[4],19.86µm
delay_count_reg_1[10],19.86µm
delay_chain_inst.done,19.84µm
net47,19.82µm
net258,19.78µm
delay_chain_inst.delay_count_1\[6\],19.64µm
ro_count_2\[0\],19.44µm
delay_count_reg_2[3],19.36µm
net265,19.28µm
delay_chain_inst.cycle_count\[2\],19.2µm
net339,19.18µm
delay_chain_inst.chain_2\[23\],19.1µm
ro_counter_inst.measurement_window\[2\],19.1µm
ro_count_reg_2[3],18.98µm
delay_chain_inst.delay_count_2\[7\],18.89µm
clock_status_reg[2],18.88µm
net287,18.86µm
delay_chain_inst.delay_count_2\[12\],18.84µm
net237,18.82µm
delay_chain_inst.chain_2\[27\],18.76µm
net396,18.72µm
ro_counter_inst.measurement_window\[6\],18.68µm
_0571_,18.62µm
delay_count_reg_1[4],18.48µm
_0617_,18.42µm
net232,18.36µm
net256,18.36µm
ro_clk_1,18.3µm
_0590_,18.12µm
net3,18.12µm
net16,18.1µm
net19,18.1µm
net134,18µm
net283,17.76µm
_0721_,17.68µm
_0370_,17.66µm
ro_counter_inst.start,17.56µm
net330,17.56µm
net441,17.5µm
delay_chain_inst.delay_count_2\[15\],17.44µm
ro_clk_0,17.38µm
net385,17.18µm
net281,17.1µm
net286,17µm
net231,16.96µm
net347,16.96µm
net73,16.84µm
_0719_,16.8µm
delay_chain_inst.chain_2_done,16.78µm
net370,16.74µm
net31,16.72µm
net333,16.64µm
delay_chain_inst.delay_count_2\[1\],16.56µm
_0705_,16.49µm
_0575_,16.38µm
net357,16.34µm
_0577_,16.32µm
net261,16.22µm
net252,16.14µm
delay_chain_inst.chain_2\[19\],16.06µm
delay_chain_inst.delay_count_2\[10\],15.92µm
_0712_,15.8µm
_0731_,15.66µm
_0499_,15.645µm
delay_chain_inst.delay_count_2\[0\],15.58µm
_0540_,15.52µm
_0622_,15.51µm
_0443_,15.48µm
net83,15.44µm
_0711_,15.4µm
delay_chain_inst.delay_count_2\[13\],15.34µm
net402,15.34µm
status_reg[5],15.32µm
net323,15.18µm
net226,14.92µm
_0303_,14.88µm
_0680_,14.8µm
status_reg[7],14.8µm
delay_chain_inst.chain_0\[3\],14.72µm
net85,14.72µm
net302,14.7µm
net446,14.58µm
_0548_,14.56µm
_0707_,14.54µm
_0547_,14.48µm
net238,14.48µm
net380,14.48µm
net251,14.46µm
net30,14.3µm
_0616_,14.28µm
net445,14.2µm
net266,14.18µm
_0556_,14.14µm
net223,14.14µm
net215,13.98µm
net230,13.98µm
delay_chain_inst.chain_2\[29\],13.96µm
_0628_,13.92µm
delay_count_reg_2[5],13.88µm
ro_counter_inst.measurement_window\[8\],13.8µm
net311,13.8µm
_0687_,13.73µm
_0613_,13.72µm
net432,13.7µm
_0349_,13.68µm
net17,13.56µm
net452,13.56µm
delay_chain_inst.chain_2\[30\],13.54µm
net76,13.5µm
_0001_,13.46µm
delay_chain_inst.chain_0\[4\],13.46µm
net447,13.44µm
net430,13.42µm
delay_chain_inst.start_prev,13.24µm
net400,13.24µm
_0574_,13.22µm
state\[1\],13.22µm
net329,13.22µm
_0729_,13.08µm
net454,13.08µm
_0702_,13.04µm
net332,12.98µm
_0697_,12.92µm
net392,12.86µm
_0596_,12.74µm
net440,12.74µm
net263,12.68µm
delay_chain_inst.chain_2\[24\],12.64µm
net458,12.62µm
ro_count_reg_2[1],12.56µm
_0609_,12.5µm
net77,12.5µm
net236,12.46µm
_0437_,12.425µm
net49,12.42µm
net244,12.42µm
delay_chain_inst.chain_2\[25\],12.38µm
rst,12.32µm
net14,12.3µm
net33,12.3µm
net318,12.3µm
delay_chain_inst.chain_1\[8\],12.28µm
_0603_,12.24µm
net240,12.24µm
_0448_,12.22µm
net255,12.18µm
net98,12.08µm
net284,12.08µm
_0722_,12.06µm
net328,12µm
net249,11.985µm
_0666_,11.98µm
_0591_,11.96µm
_0670_,11.96µm
net406,11.94µm
_0361_,11.92µm
_0605_,11.88µm
net301,11.88µm
ro_clk_2,11.86µm
net253,11.84µm
net450,11.84µm
net457,11.82µm
net242,11.8µm
net417,11.78µm
delay_chain_inst.delay_count_0\[12\],11.7µm
net228,11.66µm
net306,11.66µm
net451,11.66µm
net220,11.64µm
_0581_,11.62µm
_0446_,11.6µm
_0447_,11.6µm
net276,11.6µm
net431,11.6µm
net382,11.58µm
net225,11.5µm
net259,11.42µm
net224,11.3µm
net270,11.26µm
net313,11.26µm
_0625_,11.2µm
net74,11.2µm
net218,11.08µm
net221,11.02µm
net429,11.02µm
net293,10.94µm
_0507_,10.92µm
net415,10.92µm
_0365_,10.9µm
net257,10.9µm
_0461_,10.815µm
net439,10.78µm
net314,10.76µm
delay_chain_inst.chain_1\[10\],10.74µm
net436,10.74µm
_0412_,10.685µm
net246,10.66µm
_0614_,10.635µm
_0623_,10.6µm
net348,10.58µm
_0691_,10.56µm
net245,10.56µm
net388,10.56µm
net409,10.56µm
_0384_,10.54µm
_0621_,10.54µm
_0665_,10.5µm
delay_chain_inst.chain_1\[9\],10.5µm
_0553_,10.46µm
net437,10.46µm
net336,10.42µm
_0314_,10.4µm
_0324_,10.4µm
delay_chain_inst.chain_0\[1\],10.38µm
net235,10.36µm
net359,10.36µm
net425,10.34µm
net374,10.245µm
_0663_,10.12µm
_0584_,10.04µm
net248,10.02µm
net292,10µm
net442,10µm
_0294_,9.98µm
delay_chain_inst.chain_0\[5\],9.98µm
net353,9.98µm
delay_chain_inst.delay_count_0\[14\],9.9µm
net277,9.86µm
