2026-06-19 09:35:31 +0200: Memory Usage (453408K) : heatres_drw has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : pempoly_drw has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : fbe_drw has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : empoly_drw has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : ldmos_drw has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : pbiwind_drw has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : digisub_drw has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : nodrc_drw has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : text_drw has 6 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : via4_drw has 4375 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : metal5_drw has 2625 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : metal5_pin has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : metal5_mask has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : metal5_filler has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : metal5_nofill has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : metal5_slit has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : metal5_text has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : metal5_opc has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : metal5_noqrc has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : metal5_res has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : metal5_iprobe has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : metal5_diffprb has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : radhard_drw has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : memcap_drw has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : varicap_drw has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : flash_drw has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : intbondvia_drw has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : intbondmet_drw has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : devbondvia_drw has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : devbondmet_drw has 0 polygons
